"CODICE_REGIONE","CODICE_PROVINCIA","SIGLA_AUTOMOBILISTICA","ID_COMUNE","CODICE_COMUNE","LABEL_COMUNE_IT","LABEL_COMUNE_DE","DATA_INIZIO_VALIDITA","DATA_FINE_VALIDITA"
"00","002","VC","002813-(1929-06-15)","002813","CROCE DI MOSSO","","15-06-1929","15-06-1929"
"00","003","NO","003966-(1861-03-17)","003966","CROSA","","17-03-1861","12-01-1927"
"00","002","VC","002051-(1927-01-12)","002051","CROSA","","12-01-1927","01-01-1948"
"01","002","VC","002051-(1948-01-01)","002051","CROSA","","01-01-1948","01-01-1995"
"01","096","BI","096022-(1995-01-01)","096022","CROSA","","01-01-1995","01-01-2016"
"01","096","BI","096022-(2016-01-01)","096022","CROSA","","01-01-2016","01-01-2016"
"00","003","NO","003967-(1861-03-17)","003967","CROVA","","17-03-1861","01-05-1891"
"00","003","NO","003967-(1891-05-01)","003967","CROVA","","01-05-1891","12-01-1927"
"00","002","VC","002052-(1927-01-12)","002052","CROVA","","12-01-1927","01-01-1948"
"01","002","VC","002052-(1948-01-01)","002052","CROVA","","01-01-1948","31-12-9999"
"00","003","NO","003968-(1861-03-17)","003968","CURINO","","17-03-1861","12-01-1927"
"00","002","VC","002053-(1927-01-12)","002053","CURINO","","12-01-1927","01-01-1948"
"01","002","VC","002053-(1948-01-01)","002053","CURINO","","01-01-1948","01-01-1995"
"01","096","BI","096023-(1995-01-01)","096023","CURINO","","01-01-1995","31-12-9999"
"00","003","NO","003969-(1861-03-17)","003969","DESANA","","17-03-1861","12-01-1927"
"00","002","VC","002054-(1927-01-12)","002054","DESANA","","12-01-1927","01-01-1948"
"01","002","VC","002054-(1948-01-01)","002054","DESANA","","01-01-1948","31-12-9999"
"00","003","NO","003970-(1861-03-17)","003970","DOCCIO","","17-03-1861","12-01-1927"
"00","002","VC","002814-(1927-01-12)","002814","DOCCIO","","12-01-1927","06-09-1928"
"00","002","VC","002814-(1928-09-06)","002814","DOCCIO","","06-09-1928","06-09-1928"
